ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)",เริ่มการรายงาน,สิ้นสุดการรายงาน
,,,,,mixed,,,107058,90293.03,1.18567291,1567391,520190,237,795,113.57613836,260,8778,3.0159035,57.60721479,2026-04-01,2026-04-30
"[27.05.25][หมิว] หนังสือที่จะทำให้เสียน้ำตา (Ghostly)",120243414200080260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[27.08.24] [หมิว] แจกวอลเปเปอร์ทุกเล่ม (Helmet_เล่มเดี่ยว)",120215056912530260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[22.01.25] [หมิว] หนังสือฮีลใจแห่งปี 2025 (Home)",120219262871900260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[01.04.25][หมิว][สัปดาห์หนังสือ53] ช้อปที่บ้าน ได้ราคาเท่าหน้างาน (Promotion_Discount)",120234398865880260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[11.07.25][หมิว] แจกฟรี! Me Time Planner (Promotion)",120232770229830260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[05.08.24] [หมิว] 8.8 ทรงอย่างแซด (ภาพเดี่ยว)",120214542226530260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[22.05.25][หมิว] เปิดตัวหนังสือเล่มใหม่ 2 GHOSTLY BREWS (Ghostly)",120229092423080260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[30.01.25][หมิว] มนุษย์เงินเดือน อยากมีเงินล้านก้อนแรก (Million)",120219287575950260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[31.01.25][หมิว] พี่ขอด่วน หนังสืออันดับ 1 (Engage)",120219341614370260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[22.05.25][หมิว] เปิดตัวเล่มใหม่ 4 หนังสือบีบหัวใจ (Ghostly)",120229082860620260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[02.05.25][หมิว] เวทมนตร์ไม่ใช่เรื่องเพ้อฝัน (Witches)",120227794024810260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[07.03.25][หมิว] เปิดตัวเล่มใหม่ The Witches' Club (Witches)",120222018019060260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[15.10.24] [หมิว] 7 ข้อคิดที่ชอบ (Life)",120222344592410260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[01.04.25][หมิว][สัปดาห์หนังสือ53] ช้อปที่บ้าน ได้ราคาเท่าหน้างาน (Promotion_Discount)",120223704838320260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[14.08.24] [หมิว] เปิดตัวหนังสือเล่มใหม่ (Helmet_เล่มเดี่ยว)",120214734380340260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[15.09.24] [หมิว] ปีศาจครบรอบ 1 ปี (รวมอัลบั้ม)",120215545565500260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[05.10.25][หมิว] เมื่ออดีตยมทูต (Remains)",120237928080970260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[06.09.24] [หมิว] 9.9 ฮีลใจแตกร้าว (Album)",120215329348940260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[13.02.25][หมิว] ไม่คิดว่าจะเสียน้ำตาเพราะเล่มนี้ (Embrace)",120219940352410260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[24.06.25][หมิว] ชีวิตคุณยังมีไฟหรือแค่เศษเถ้าที่มอดไปแล้ว (Witches)",120231573854150260,2026-04-30,inactive,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
"[23.06.25][หมิว] เมื่อชีวิต คือบททดสอบที่ท้าทาย (ปีศาจตัวนั้น)",120231519311850260,2026-04-30,not_delivering,ad,,,,,0,,0,0,,,,,,,,2026-04-30,2026-04-30
